"term","coef_reg_baja","coef_reg_alta"
"(Intercept)",0.392149555841878,0.477221555978556
"tf_texto_aaron",0,0
"tf_texto_abandon",0,0
"tf_texto_abandoned",0,0
"tf_texto_abilities",0,0
"tf_texto_ability",0,0
"tf_texto_able",0.00883941591285027,0
"tf_texto_aboard",0,0
"tf_texto_absence",0,0
"tf_texto_absent",-0.00419549295484487,0
"tf_texto_absolute",-0.0419967052324043,0
"tf_texto_absolutely",0,0
"tf_texto_absorbed",0,0
"tf_texto_absorbing",0.0678564767072079,0
"tf_texto_absurd",0,0
"tf_texto_abuse",0,0
"tf_texto_abusive",-0.0263990926512929,0
"tf_texto_abyss",0.0101773831693824,0
"tf_texto_academy",0.05932457136532,0
"tf_texto_accent",0,0
"tf_texto_accents",0,0
"tf_texto_accept",0,0
"tf_texto_acceptable",0,0
"tf_texto_acceptance",0,0
"tf_texto_accepted",0,0
"tf_texto_accepting",0.109476938629179,0
"tf_texto_accepts",0,0
"tf_texto_access",0,0
"tf_texto_accident",-0.00168820012516285,0
"tf_texto_accidentally",0,0
"tf_texto_acclaimed",0,0
"tf_texto_accompanied",0,0
"tf_texto_accomplish",0,0
"tf_texto_accomplished",0.0207603827514758,0
"tf_texto_accomplishment",0,0
"tf_texto_according",0,0
"tf_texto_account",-0.00461329081322582,0
"tf_texto_accuracy",-0.0604271749519535,0
"tf_texto_accurate",-7.21383952703926e-05,0
"tf_texto_accused",0,0
"tf_texto_ace",0,0
"tf_texto_achieve",-0.0433105830487689,0
"tf_texto_achieved",0,0
"tf_texto_achievement",0,0
"tf_texto_achieves",0,0
"tf_texto_acid",-0.0370528864709863,0
"tf_texto_across",-0.000683390128515812,0
"tf_texto_act",-0.0254948814560147,0
"tf_texto_acted",-0.0215216638401819,0
"tf_texto_acting",-0.0218523380144308,0
"tf_texto_action",0,0
"tf_texto_actions",0,0
"tf_texto_activities",0,0
"tf_texto_activity",0,0
"tf_texto_actor",0,0
"tf_texto_actor's",0,0
"tf_texto_actors",0,0
"tf_texto_actress",0,0
"tf_texto_actresses",0,0
"tf_texto_acts",0,0
"tf_texto_actual",0,0
"tf_texto_actually",0,0
"tf_texto_ad",-0.0389164518764348,0
"tf_texto_adam",0,0
"tf_texto_adams",0,0
"tf_texto_adaptation",-0.000157317996960417,0
"tf_texto_adaptations",-0.0032535508343979,0
"tf_texto_adapted",0.0371986883578531,0
"tf_texto_add",-0.0242417850617416,0
"tf_texto_added",0,0
"tf_texto_addict",-0.0738926698021171,0
"tf_texto_addicted",0.0382322534304338,0
"tf_texto_addiction",0.00196341716130647,0
"tf_texto_adding",0,0
"tf_texto_addition",0,0
"tf_texto_adds",0,0
"tf_texto_adequate",0,0
"tf_texto_admirable",0.0110550130020946,0
"tf_texto_admirably",0,0
"tf_texto_admire",0,0
"tf_texto_admission",0,0
"tf_texto_admit",0,0
"tf_texto_admits",0,0
"tf_texto_admittedly",0,0
"tf_texto_adolescent",0,0
"tf_texto_adorable",0,0
"tf_texto_ads",0,0
"tf_texto_adult",0,0
"tf_texto_adults",0,0
"tf_texto_advance",0,0
"tf_texto_advanced",-0.0402584181570819,0
"tf_texto_advances",-0.0291450670940761,0
"tf_texto_advantage",0,0
"tf_texto_adventure",0,0
"tf_texto_adventures",0.0594860970050912,0
"tf_texto_advertising",0.0134100260684636,0
"tf_texto_advice",0,0
"tf_texto_advised",0,0
"tf_texto_advocate",0,0
"tf_texto_affair",0,0
"tf_texto_affairs",0,0
"tf_texto_affected",-0.0169982057457783,0
"tf_texto_affecting",0.0979354789977392,0
"tf_texto_affection",0.0523140579169294,0
"tf_texto_affleck",0,0
"tf_texto_aforementioned",0,0
"tf_texto_afraid",0,0
"tf_texto_africa",-0.0421555509477499,0
"tf_texto_african",0,0
"tf_texto_africans",0,0
"tf_texto_afterwards",0,0
"tf_texto_age",0,0
"tf_texto_aged",0.0416973355142531,0
"tf_texto_agenda",0,0
"tf_texto_agent",0,0
"tf_texto_agents",0,0
"tf_texto_ages",-0.0112620414845225,0
"tf_texto_aggressive",0,0
"tf_texto_aging",0,0
"tf_texto_ago",0,0
"tf_texto_agree",0.0517945194492073,0
"tf_texto_agrees",0,0
"tf_texto_ahead",0,0
"tf_texto_ahmed",0,0
"tf_texto_aid",-0.0147721847812341,0
"tf_texto_aided",0.0179594272277639,0
"tf_texto_aids",0,0
"tf_texto_aim",0,0
"tf_texto_aimed",0,0
"tf_texto_ain't",0,0
"tf_texto_air",0,0
"tf_texto_airplane",0.104080252052555,0
"tf_texto_airport",0,0
"tf_texto_al",0,0
"tf_texto_alan",0,0
"tf_texto_alas",-0.0571446036429494,-0.0474457363668451
"tf_texto_albeit",0,0
"tf_texto_albert",0.0070742306584652,0
"tf_texto_alcohol",0,0
"tf_texto_alcoholic",-0.0146222151148799,0
"tf_texto_alec",0,0
"tf_texto_alex",0,0
"tf_texto_alexander",0.00910988224609592,0
"tf_texto_alfred",0,0
"tf_texto_ali",-0.0102659203681472,0
"tf_texto_alice",0,0
"tf_texto_alicia",0,0
"tf_texto_alien",0.0237027481946282,0
"tf_texto_aliens",0,0
"tf_texto_alike",0.00688000058489956,0
"tf_texto_alive",0,0
"tf_texto_allen",0.00035526672462607,0
"tf_texto_allen's",-0.00879303258062931,0
"tf_texto_alley",0,0
"tf_texto_allow",0,0
"tf_texto_allowed",0.000536453280795203,0
"tf_texto_allowing",0,0
"tf_texto_allows",0.116229710119195,0.0744807022406629
"tf_texto_ally",-0.033168909621936,0
"tf_texto_almost",0,0
"tf_texto_alone",-0.0176544118996892,0
"tf_texto_along",0,0
"tf_texto_alongside",0.0425579469719738,0
"tf_texto_already",0,0
"tf_texto_also",0.0269364484641523,0.0480049116149452
"tf_texto_alter",0.0783147047225127,3.63121177873183e-06
"tf_texto_altered",0,0
"tf_texto_alternate",-0.00810882496007012,0
"tf_texto_alternative",0,0
"tf_texto_although",0,0.00372510522133912
"tf_texto_altman",0,0
"tf_texto_altogether",0,0
"tf_texto_always",0,0
"tf_texto_amanda",0,0
"tf_texto_amazed",0,0
"tf_texto_amazing",0.0450353778001951,0
"tf_texto_amazingly",0,0
"tf_texto_ambition",0,0
"tf_texto_ambitious",0,0
"tf_texto_america",0,0.0217653591254099
"tf_texto_america's",0,0
"tf_texto_american",0.0236225285230503,0.00422505114324126
"tf_texto_americans",0,0
"tf_texto_amidala",0,0
"tf_texto_amidst",-0.0437870193913955,0
"tf_texto_amistad",0,0
"tf_texto_among",0.0138272069311676,0
"tf_texto_amongst",0.00149115444965842,0
"tf_texto_amount",0.0115521072121736,0
"tf_texto_amounts",-0.000731485403910213,0
"tf_texto_amusement",4.61834622527282e-05,0
"tf_texto_amusing",0,0
"tf_texto_amy",0,0
"tf_texto_anaconda",0,0
"tf_texto_anakin",0,0
"tf_texto_analysis",0,0
"tf_texto_analyze",0,0
"tf_texto_anastasia",0,0
"tf_texto_ancient",0,0
"tf_texto_anderson",0,0
"tf_texto_andrew",0,0
"tf_texto_andy",0,0
"tf_texto_angel",0,0
"tf_texto_angela",0.0453963250457847,0
"tf_texto_angeles",0,0
"tf_texto_angels",0,0
"tf_texto_anger",0,5.08808712370112e-05
"tf_texto_angle",0,0
"tf_texto_angles",0,0
"tf_texto_angry",0,0
"tf_texto_animal",0,0
"tf_texto_animals",-0.0612480492419267,0
"tf_texto_animated",0,0
"tf_texto_animation",0,0
"tf_texto_animators",0,0
"tf_texto_ann",0,0
"tf_texto_anna",0,0
"tf_texto_anne",0.0108911290028627,0
"tf_texto_annette",0,0
"tf_texto_annie",0,0
"tf_texto_announces",0,0
"tf_texto_annoyed",0,0
"tf_texto_annoying",-0.0403075667564273,0
"tf_texto_anonymous",0,0
"tf_texto_another",0,0
"tf_texto_answer",0,0
"tf_texto_answered",0,0
"tf_texto_answers",0,0
"tf_texto_ant",0,0
